genesymbol	lfc_rna	ncbi_id	UniprotKB_rna	UniprotKB_prot	lfc_prot
Cox6b1	-0.8182414	110323	P56391	P56391	0.5406282777264378
Gpi1	-0.3850611	14751	P06745		
Il4i1	1.3668623	14204	O09046		
Il4i1	1.3668623	14204	A0A0R4J0C2		
Cpt1c	1.2267412	78070	Q8BGD5		
Ldha	0.40587664	16828	P06151	A0A1B0GSX0	-0.10593922526501792
Ldha	0.40587664	16828	P06151	P06151	-0.10593922526501792
Ldha	0.40587664	16828	P06151	Q564E2	-0.10593922526501792
Ldha	0.40587664	16828	A0A1B0GSX0	A0A1B0GSX0	-0.10593922526501792
Ldha	0.40587664	16828	A0A1B0GSX0	P06151	-0.10593922526501792
Ldha	0.40587664	16828	A0A1B0GSX0	Q564E2	-0.10593922526501792
Ldha	0.40587664	16828	Q564E2	A0A1B0GSX0	-0.10593922526501792
Ldha	0.40587664	16828	Q564E2	P06151	-0.10593922526501792
Ldha	0.40587664	16828	Q564E2	Q564E2	-0.10593922526501792
Mcee	-1.232715	73724	Q9D1I5	Q9D1I5	0.4411368624082752
Idh2	-0.0799605	269951	P54071	P54071	0.5472801601437753
Me3	1.3703508	109264	Q8BMF3	Q8BMF3	0.476050574340447
Ndufc2	-0.51755893	68197	Q9CQ54	Q9CQ54	-0.42775058046527104
Dgat2	0.4055839	67800	Q9DCV3		
Uqcrc2	-0.11543306	67003	Q9DB77	Q9DB77	0.4109225242678966
Ndufab1	0.3328185	70316	Q9CR21	Q9CR21	-0.11055471386169462
Ndufab1	0.3328185	70316	Q569N0	Q9CR21	-0.11055471386169462
Aldoa	-0.5598359	11674	P05064	P05064	0.004052228465226162
Aldoa	-0.5598359	11674	P05064	A6ZI44	0.004052228465226162
Aldoa	-0.5598359	11674	P05064	A6ZI46	0.004052228465226162
Aldoa	-0.5598359	11674	A6ZI44	P05064	0.004052228465226162
Aldoa	-0.5598359	11674	A6ZI44	A6ZI44	0.004052228465226162
Aldoa	-0.5598359	11674	A6ZI44	A6ZI46	0.004052228465226162
Aldoa	-0.5598359	11674	Q5FWB7	P05064	0.004052228465226162
Aldoa	-0.5598359	11674	Q5FWB7	A6ZI44	0.004052228465226162
Aldoa	-0.5598359	11674	Q5FWB7	A6ZI46	0.004052228465226162
Cdipt	-1.084748	52858	Q8VDP6		
Cdipt	-1.084748	52858	A0A0U1RPV3		
Acadsb	-0.93586594	66885	Q9DBL1	Q9DBL1	-0.11128320239996281
Echs1	-1.5217884	93747	Q8BH95	Q8BH95	0.09278330695204944
Ptdss2	0.11748743	27388	Q9Z1X2	Q9Z1X2	-2.7181477519524306
Pnpla2	-2.4552376	66853	Q8BJ56		
Pnpla6	-1.5052586	50767	Q3TRM4	A0A140LI54	1.0743024704293533
Pnpla6	-1.5052586	50767	Q3TRM4	Q3TRM4	1.0743024704293533
Pnpla6	-1.5052586	50767	A0A140LI54	A0A140LI54	1.0743024704293533
Pnpla6	-1.5052586	50767	A0A140LI54	Q3TRM4	1.0743024704293533
Agpat5	0.79010046	52123	Q9D1E8		
Gpat4	1.3310721	102247	Q8K2C8	Q8K2C8	0.06749006086091461
Plpp5	1.1563711	71910	Q3UMZ3		
Plpp5	1.1563711	71910	Q6P6K4		
Acsl1	2.0555086	14081	P41216	P41216	0.3610008159243192
